Macrotrends Data Download

Sugar Prices - 37 Year Historical Chart

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1980-01-02,0.1505
1980-01-03,0.1470
1980-01-04,0.1486
1980-01-07,0.1438
1980-01-08,0.1449
1980-01-09,0.1504
1980-01-10,0.1490
1980-01-11,0.1575
1980-01-14,0.1622
1980-01-15,0.1670
1980-01-16,0.1703
1980-01-17,0.1763
1980-01-18,0.1791
1980-01-21,0.1820
1980-01-22,0.1865
1980-01-23,0.1954
1980-01-24,0.2006
1980-01-25,0.1961
1980-01-28,0.1751
1980-01-29,0.1932
1980-01-30,0.2055
1980-01-31,0.2093
1980-02-01,0.2174
1980-02-04,0.2250
1980-02-05,0.2142
1980-02-06,0.2110
1980-02-07,0.2164
1980-02-08,0.2441
1980-02-11,0.2605
1980-02-12,0.2605
1980-02-13,0.2710
1980-02-14,0.2671
1980-02-15,0.2557
1980-02-19,0.2198
1980-02-20,0.2285
1980-02-21,0.2360
1980-02-22,0.2183
1980-02-25,0.2120
1980-02-26,0.2208
1980-02-27,0.2197
1980-02-28,0.2113
1980-02-29,0.2272
1980-03-03,0.2536
1980-03-04,0.2436
1980-03-05,0.2403
1980-03-06,0.2324
1980-03-07,0.2042
1980-03-10,0.1944
1980-03-11,0.2029
1980-03-12,0.1981
1980-03-13,0.1848
1980-03-14,0.1881
1980-03-17,0.1768
1980-03-18,0.1820
1980-03-19,0.1893
1980-03-20,0.1868
1980-03-21,0.2002
1980-03-24,0.1965
1980-03-25,0.1929
1980-03-26,0.2031
1980-03-27,0.1863
1980-03-28,0.1825
1980-03-31,0.1871
1980-04-01,0.1843
1980-04-02,0.1851
1980-04-03,0.1986
1980-04-07,0.2081
1980-04-08,0.2025
1980-04-09,0.1988
1980-04-10,0.2085
1980-04-11,0.2166
1980-04-14,0.2103
1980-04-15,0.2205
1980-04-16,0.2198
1980-04-17,0.2281
1980-04-18,0.2334
1980-04-21,0.2199
1980-04-22,0.2218
1980-04-23,0.2278
1980-04-24,0.2274
1980-04-25,0.2313
1980-04-28,0.2272
1980-04-29,0.2329
1980-04-30,0.2370
1980-05-01,0.2531
1980-05-02,0.2659
1980-05-05,0.2692
1980-05-06,0.2709
1980-05-07,0.2812
1980-05-08,0.2989
1980-05-09,0.3034
1980-05-12,0.3224
1980-05-13,0.3252
1980-05-14,0.3316
1980-05-15,0.3249
1980-05-16,0.3309
1980-05-19,0.3284
1980-05-20,0.3046
1980-05-21,0.3091
1980-05-22,0.3312
1980-05-23,0.3489
1980-05-27,0.3479
1980-05-28,0.3425
1980-05-29,0.3446
1980-05-30,0.3440
1980-06-02,0.3336
1980-06-03,0.2996
1980-06-04,0.3129
1980-06-05,0.2915
1980-06-06,0.2994
1980-06-09,0.2876
1980-06-10,0.2815
1980-06-11,0.3023
1980-06-12,0.3198
1980-06-13,0.3360
1980-06-16,0.3114
1980-06-17,0.3183
1980-06-18,0.3214
1980-06-19,0.3335
1980-06-20,0.3336
1980-06-23,0.3404
1980-06-24,0.3250
1980-06-25,0.3300
1980-06-26,0.3183
1980-06-27,0.3251
1980-06-30,0.3176
1980-07-01,0.3216
1980-07-02,0.3131
1980-07-03,0.3018
1980-07-07,0.2849
1980-07-08,0.2752
1980-07-09,0.2681
1980-07-10,0.2641
1980-07-11,0.2557
1980-07-14,0.2767
1980-07-15,0.2748
1980-07-16,0.2531
1980-07-17,0.2656
1980-07-18,0.2869
1980-07-21,0.2748
1980-07-22,0.2778
1980-07-23,0.2773
1980-07-24,0.2763
1980-07-25,0.2884
1980-07-28,0.2901
1980-07-29,0.2890
1980-07-30,0.2924
1980-07-31,0.2880
1980-08-01,0.2961
1980-08-04,0.3214
1980-08-05,0.3307
1980-08-06,0.3292
1980-08-07,0.3239
1980-08-08,0.3334
1980-08-11,0.3257
1980-08-12,0.3336
1980-08-13,0.3386
1980-08-14,0.3435
1980-08-15,0.3343
1980-08-18,0.3221
1980-08-19,0.3134
1980-08-20,0.3180
1980-08-21,0.3211
